ACU   Abilene Christian Wildcats
NU   Northwestern Wildcats
ND   Notre Dame Fighting Irish
OAK   Oakland Golden Grizzlies
OHIO   Ohio Bobcats
OSU   Ohio State Buckeyes
OU   Oklahoma Sooners
OKST   Oklahoma State Cowgirls
ODU   Old Dominion Monarchs
MISS   Ole Miss Rebels
OMA   Omaha Mavericks
ORU   Oral Roberts Golden Eagles
ORE   Oregon Ducks
ORST   Oregon State Beavers
PAC   Pacific Tigers
PSU   Penn State Lady Lions
PENN   Pennsylvania Quakers
PEPP   Pepperdine Waves
PITT   Pittsburgh Panthers
PORT   Portland Pilots
PRST   Portland State Vikings
PV   Prairie View A&M Lady Panthers
PRES   Presbyterian Blue Hose
PRIN   Princeton Tigers
PROV   Providence Friars
PUR   Purdue Boilermakers
PFW   Purdue Fort Wayne Mastodons
QUOC   Queens University Royals
QUIN   Quinnipiac Bobcats
RAD   Radford Highlanders
URI   Rhode Island Rams
RICE   Rice Owls
RICH   Richmond Spiders
RID   Rider Broncs
RMU   Robert Morris Colonials
RUTG   Rutgers Scarlet Knights
SELA   SE Louisiana Lady Lions
SIUE   SIU Edwardsville Cougars
SMU   SMU Mustangs
SAC   Sacramento State Hornets
SHU   Sacred Heart Pioneers
JOES   Saint Joseph's Hawks
SLU   Saint Louis Billikens
SMC   Saint Mary's Gaels
SPU   Saint Peter's Peacocks
SHSU   Sam Houston Bearkats
SAM   Samford Bulldogs
SDSU   San Diego State Aztecs
USD   San Diego Toreros
SF   San Francisco Dons
SJSU   San Jose State Spartans
SCU   Santa Clara Broncos
SEA   Seattle U Redhawks
HALL   Seton Hall Pirates
SIE   Siena Saints
USA   South Alabama Jaguars
SC   South Carolina Gamecocks
SCST   South Carolina State Lady Bulldogs
SCUP   South Carolina Upstate Spartans
SDAK   South Dakota Coyotes
SDST   South Dakota State Jackrabbits
USF   South Florida Bulls
SEMO   Southeast Missouri State Redhawks
SIU   Southern Illinois Salukis
USI   Southern Indiana Screaming Eagles
SOU   Southern Jaguars
USM   Southern Miss Golden Eagles
SUU   Southern Utah Thunderbirds
SBU   St. Bonaventure Bonnies
SFPA   St. Francis (PA) Red Flash
SFNY   St. Francis Brooklyn Terriers
SJU   St. John's Red Storm
STMN   St. Thomas - Minnesota Tommies
STAN   Stanford Cardinal
SFA   Stephen F. Austin Ladyjacks
STET   Stetson Hatters
STO   Stonehill Skyhawks
STBK   Stony Brook Seawolves
SYR   Syracuse Orange
TCU   TCU Horned Frogs
TAR   Tarleton Texans
TEM   Temple Owls
TENN   Tennessee Lady Volunteers
TNST   Tennessee State Lady Tigers
TNTC   Tennessee Tech Golden Eagles
TA&M   Texas A&M Aggies
TAMC   Texas A&M-Commerce Lions
AMCC   Texas A&M-Corpus Christi Islanders
TEX   Texas Longhorns
TXSO   Texas Southern Tigers
TXST   Texas State Bobcats
TTU   Texas Tech Lady Raiders
TOL   Toledo Rockets
TOW   Towson Tigers
TROY   Troy Trojans
TULN   Tulane Green Wave
TLSA   Tulsa Golden Hurricane
UAB   UAB Blazers
UCD   UC Davis Aggies
UCI   UC Irvine Anteaters
UCR   UC Riverside Highlanders
UCSD   UC San Diego Tritons
UCSB   UC Santa Barbara Gauchos
UCF   UCF Knights
UCLA   UCLA Bruins
CONN   UConn Huskies
UIC   UIC Flames
ULM   UL Monroe Warhawks
UMBC   UMBC Retrievers
UML   UMass Lowell River Hawks
MASS   UMass Minutewomen
UNCA   UNC Asheville Bulldogs
UNCG   UNC Greensboro Spartans
UNCW   UNC Wilmington Seahawks
UNLV   UNLV Lady Rebels
USC   USC Trojans
UTA   UT Arlington Mavericks
UTM   UT Martin Skyhawks
RGV   UT Rio Grande Valley Vaqueros
UTEP   UTEP Miners
UTSA   UTSA Roadrunners
USU   Utah State Aggies
UTU   Utah Tech Trailblazers
UTAH   Utah Utes
UVU   Utah Valley Wolverines
VCU   VCU Rams
VAL   Valparaiso Beacons
VAN   Vanderbilt Commodores
UVM   Vermont Catamounts
VILL   Villanova Wildcats
UVA   Virginia Cavaliers
VT   Virginia Tech Hokies
WAG   Wagner Seahawks
WAKE   Wake Forest Demon Deacons
WASH   Washington Huskies
WSU   Washington State Cougars
WEB   Weber State Wildcats
WVU   West Virginia Mountaineers
WCU   Western Carolina Catamounts
WIU   Western Illinois Leathernecks
WKU   Western Kentucky Lady Toppers
WMU   Western Michigan Broncos
WICH   Wichita State Shockers
W&M   William & Mary Tribe
WIN   Winthrop Eagles
WISC   Wisconsin Badgers
WOF   Wofford Terriers
WRST   Wright State Raiders
WYO   Wyoming Cowgirls
XAV   Xavier Musketeers
YALE   Yale Bulldogs
YSU   Youngstown State Penguins
